role,company,experience,location,salary,skills,description,job_type,duration,posted_date,job_url
Flutter Development,Satyukt Analytics Private Limited,0 years (Fresher),,"₹ 10,000 - 12,000 /month",Android | Flutter | iOS | REST API | Certificate | 5 days a week,About the internship Job Overview We are looking for a passionate Flutter Developer (Fresher) who is eager to build cross-platform mobile applications using the Flutter framework. The candidate should have basic knowledge of Flutter and Dart and be willing to learn modern mobile development practices. Key Responsibilities 1. Assist in developing mobile applications using Flutter 2. Write clean and efficient Dart code 3. Work with senior developers to build and maintain mobile apps 4. Integrate REST APIs and backend services 5. Debug and fix application issues 6. Implement UI designs using Flutter widgets 7. Test applications and improve performance 8. Participate in code reviews and team discussions Required Skills 1. Basic knowledge of Flutter framework 2. Basic understanding of Dart programming 3. Knowledge of mobile app development concepts 4. Understanding of REST APIs 5. Familiarity with Git version control 6. Basic knowledge of Android Studio or VS Code Preferred Skills (Good to ,Internship,6 Months,,https://internshala.com/internship/detail/flutter-development-internship-in-bangalore-at-satyukt-analytics-private-limited1773402864
Video Labelling/Annotation Dataforce (Autonomous Driving),Solvitude,0 years (Fresher),Work From Home,"₹ 18,500 - 40,000 /month",Computer skills | Data Annotation | Data entry | Data Extraction | English Proficiency (Spoken) | English Proficiency (Written) | Google Sheets | Image Editing | MS-Word | Transcription | Video Editing | Certificate | Letter of recommendation | Flexible work hours,"About the work from home job/internship We are looking for experienced Video Annotation Specialists to join an autonomous driving AI project. In this role, you will work on annotating videos captured from car dashboard cameras to help train and improve AI models used in autonomous driving systems. You will be required to perform ontology-based video annotation and label different elements visible in the videos. Selected intern's day-to-day responsibilities include: 1. Annotating dashboard camera videos using the provided platform 2. Labeling elements such as environment, area settings, events, movements, and static objects 3. Following project guidelines and ontology tagging standards 4. Completing a minimum target of 30 videos annotations per day, 8 hours a day. 5. Maintaining high accuracy and consistency in annotations 6. Reporting any issues or unclear cases to the project team Skill(s) required Computer skills Data Annotation Data entry Data Extraction English Proficiency (Spoken)",Internship,6 Months,,https://internshala.com/internship/detail/work-from-home-video-labelling-annotation-dataforce-autonomous-driving-internship-at-solvitude1773397539
Flutter Developer,Jarvis Technology & Strategy Consulting,0 years (Fresher),,"₹ 15,000 - 20,000 /month",Dart | Flutter | React | React Native | Certificate | Informal dress code | 5 days a week,"About the internship Selected intern's day-to-day responsibilities include: 1. Work on our Flutter codebase, writing cross-platform code for both Android and iOS. 2. Collaborate closely with the product and design teams to create seamless and engaging user experiences. 3. Monitor, identify, and resolve production issues to ensure smooth app performance. 4. Maintain application quality by minimizing bugs and ensuring reliable analytics, including KPIs, logs, crash reports, and dashboards. 5. Take ownership of the mobile application development, ensuring continuous improvement and successful delivery. Skill(s) required Dart Flutter React React Native Earn certifications in these skills Learn ReactJS Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Andoid App Developement Learn Android App Development Learn Vibe Coding Learn Git & Github Learn Software development + 3 more skills Who can apply Only those candidates can apply who: 1. are available for ",Internship,3 Months,,https://internshala.com/internship/detail/flutter-developer-internship-in-delhi-at-jarvis-technology-strategy-consulting1773392974
Game Development,Frolic Frog Studios,0 years (Fresher),Work From Home,"₹ 8,000 - 10,000 /month",C# | Unity Engine | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship * Please don't apply if you haven't worked on hyper casual game and released on playStore. Are you a passionate game developer looking to gain hands-on experience in the industry? Join Frolic Frog Studios as a Game Development intern and work with cutting-edge technology like Unity 3D and Unity Engine! 1. Collaborate with our team to design and develop interactive gameplay experiences. 2. Assist in creating and implementing game mechanics, features, and assets. 3. Conduct testing and debugging to ensure smooth performance and user experience. 4. Work on optimizing game performance and solving technical challenges. 5. Participate in brainstorming sessions to generate new game ideas and concepts. 6. Stay up-to-date on industry trends and technology to contribute innovative solutions. 7. Contribute to a positive team environment and bring creativity to our projects. If you are a self-motivated individual with a strong passion for game development, a",Internship,6 Months,,https://internshala.com/internship/detail/work-from-home-game-development-internship-at-frolic-frog-studios1773384483
3D Game Artist,Absurd Games Private Limited,0 years (Fresher),Work From Home,"₹ 8,000 - 10,000 /month",Adobe Photoshop | Autodesk Maya | Blender 3D | Substance Painter | Flexible work hours | 5 days a week,"About the work from home job/internship As a '3D Artist Intern' at Absurd Games Private Limited, you will have the exciting opportunity to bring our game worlds to life using your skills in Blender 3D, Autodesk Maya, and Substance Painter. You will work closely with our experienced team to create visually stunning environments, characters, and assets that will captivate players around the world. Selected intern's day-to-day responsibilities include: 1. Create high-quality 3D models and textures for in-game assets. 2. Collaborate with the art and design teams to ensure visual consistency and quality throughout the game. 3. Assist in the optimization of assets for various platforms and devices. 4. Contribute to brainstorming sessions and provide creative input for new game concepts. 5. Stay up-to-date on industry trends and software updates to continuously improve your skills. 6. Participate in art reviews and provide feedback on fellow team members' work. 7. Take on additional tasks and",Internship,2 Months,,https://internshala.com/internship/detail/work-from-home-3d-game-artist-internship-at-absurd-games-private-limited1773384158
Technical Project Manager,Namaah Pvt Ltd,0 years (Fresher),Work From Home,"₹ 4,000 - 10,000 /month",Coordination | Effective Communication | Google Sheets | MS-Excel | Prioritization | Project Management | Software Development Life Cycle (SDLC) | Technical Writing | Certificate | Letter of recommendation | Flexible work hours | Job offer,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Assist in coordinating technical projects including app development and engineering initiatives 2. Track project progress, timelines, and deliverables across development teams 3. Maintain documentation, trackers, and project dashboards 4. Support communication between developers, designers, and leadership teams 5. Assist in identifying blockers and ensuring smooth project execution 6. Help manage internal and client engineering projects Skill(s) required Coordination Effective Communication Google Sheets MS-Excel Prioritization Project Management Software Development Life Cycle (SDLC) Technical Writing Earn certifications in these skills Learn Effective Communication Learn MS-Excel Learn Project Management Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 12th Mar'26 and 16th Apr'",Internship,6 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-technical-project-manager-internship-at-namaah-pvt-ltd1773375835
Game Development,Omoi,0 years (Fresher),Work From Home,"₹ 15,000 - 20,000 /month",C# | Unity Engine | Virtual Reality (VR) | Certificate | Letter of recommendation | Flexible work hours,"About the work from home job/internship As a Game Development intern at Omoi, you will have the opportunity to work on cutting-edge projects that push the boundaries of technology and creativity. You will be part of a dynamic team that is passionate about creating immersive gaming experiences using Unity Engine, C#, and Virtual Reality (VR) technology. This is your chance to gain hands-on experience in a fast-paced and collaborative environment while honing your skills and building a solid portfolio. Key responsibilities: 1. Collaborate with the development team to design and implement game mechanics and features using Unity Engine. 2. Write clean, efficient, and maintainable code in C# to bring game concepts to life. 3. Work on VR projects to create engaging and interactive experiences for players. 4. Conduct testing and debugging to ensure the quality and performance of games. 5. Assist in the optimization of games for different platforms and devices. 6. Stay updated on the latest tr",Internship,2 Months,3 days ago,https://internshala.com/internship/detail/work-from-home-game-development-internship-at-omoi1773301496
Creative Technologist,BINAIRE PVT LTD,0 years (Fresher),,"₹ 10,000 - 15,000 /month",Blender 3D | C# | JavaScript | Unity Engine | Certificate | Letter of recommendation | Free snacks & beverages,"About the internship We are looking for a  creative technologist (games & art)  who bridges the gap between technology and artistry. The ideal candidate is equally comfortable  coding interactive experiences  and  crafting compelling visual assets. You'll work on projects that combine  game development, interactive media, and digital art- from building prototypes and gameplay systems to designing visual styles that bring worlds to life. Selected intern's day-to-day responsibilities include: A. Game development: 1. Develop and prototype interactive experiences using  Unity  and  JavaScript frameworks. 2. Implement core gameplay systems, mechanics, and tools. 3. Optimize code for performance and scalability across multiple platforms. B. Digital art & design: 1. Create  2D/3D game assets, UI, and concept art  aligned with project style. 2. Collaborate with designers to define the  visual identity and artistic direction. 3. Contribute to shaders, particle systems, and visual effects to enh",Internship,6 Months,3 days ago,https://internshala.com/internship/detail/creative-technologist-internship-in-delhi-at-binaire-pvt-ltd1773300018
Game Development,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",Blender 3D | C# | JavaScript | Unity Engine | Unreal Engine | Certificate | Letter of recommendation | 5 days a week,"About the internship Are you a talented Game Development enthusiast with a passion for JavaScript, C#, Blender 3D, Unreal Engine, and Unity Engine? If so, we want YOU to join our team at Suresh Dani's Classes as a Game Development intern! Key responsibilities: 1. Collaborate with the development team to create interactive and engaging gameplay experiences. 2. Utilize your skills in JavaScript, C#, Blender 3D, Unreal Engine, and Unity Engine to bring game concepts to life. 3. Assist in debugging and troubleshooting issues to ensure smooth gameplay. 4. Stay current on industry trends and technologies to enhance game development processes. 5. Contribute creative ideas and input to game design meetings. 6. Participate in testing and quality assurance to deliver high-quality games. 7. Learn and grow as a professional in the game development field through hands-on experience and mentorship. If you are ready to dive into the exciting world of game development and expand your skills with a dyn",Internship,1 Week,4 days ago,https://internshala.com/internship/detail/game-development-internship-in-mumbai-at-suresh-danis-classes1773228809
Flutter Development,Suresh Dani's Classes,0 years (Fresher),,"₹ 2,000 - 2,001 /month",Android | Cloud Firestore | Dart | Firebase | Flutter | iOS | REST API | Certificate | Letter of recommendation | 5 days a week,About the internship Are you a passionate Flutter developer looking to gain hands-on experience in a dynamic and innovative educational technology company? Look no further! Join Suresh Dani's Classes as a Flutter Development intern and work alongside our talented team to create cutting-edge mobile applications for our students. 1. Collaborate with our development team to design and implement new features for our iOS and Android apps using Flutter. 2. Utilize REST API integration to enhance the functionality and user experience of our applications. 3. Develop clean and efficient code in Dart to ensure the performance and scalability of our mobile apps. 4. Work closely with Firebase and Cloud Firestore to store and retrieve data for our educational platform. 5. Conduct thorough testing and debugging to ensure the quality and reliability of our mobile applications. 6. Participate in code reviews and provide constructive feedback to improve overall code quality and consistency. 7. Stay upd,Internship,1 Week,4 days ago,https://internshala.com/internship/detail/flutter-development-internship-in-mumbai-at-suresh-danis-classes1773227560
Photography,Conversely,0 years (Fresher),,"₹ 5,000 - 7,000 /month",Adobe Photoshop | Adobe Photoshop Lightroom CC | Canva | Image Editing | Photography | Certificate,"About the internship Selected intern's day-to-day responsibilities include: 1. Operate camera equipment to capture high-quality images for various company needs (e.g., social media, website, internal communications). 2. Assist with lighting, staging, and prop arrangement during photoshoots. 3. Perform basic photo editing and retouching using industry-standard software (e.g., Adobe Lightroom, Photoshop). 4. Contribute to the organization and archiving of digital assets. 5. Collaborate with the creative team on content conceptualization and execution. 6. Support the visual content strategy by generating ideas and contributing to discussions. Skill(s) required Adobe Photoshop Adobe Photoshop Lightroom CC Canva Image Editing Photography Earn certifications in these skills Learn Adobe Photoshop Learn Photography Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Machine Learning Learn Natural Language Processing Learn Git & Github Learn Software developme",Internship,6 Months,4 days ago,https://internshala.com/internship/detail/photography-internship-in-delhi-at-conversely1773223124
Unreal Developer,KIDLOLAND KIDS & TODDLER GAMES PRIVATE LIMITED,0 years (Fresher),Work From Home,"₹ 8,000 /month",Game development | Unreal Engine | Certificate | 5 days a week,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Working with Blueprint scripting (events, timelines, actor spawning, simple AI logic). 2. Setting up skeletal meshes with basic animations. 3. Creating short cinematic or gameplay prototype videos using Sequencer. 4. Demonstrating understanding of games and how gameplay mechanics function. 5. Building small test levels to support prototypes. 6. Communicating effectively, solving problems, and iterating quickly. Skill(s) required Game development Unreal Engine Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Animation Learn UI & UX Design Learn Video Editing Learn Android App Development Learn Vibe Coding Learn AR/VR Learn Git & Github Learn Software development Learn Graphic Design + 6 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start th",Internship,3 Months,4 days ago,https://internshala.com/internship/detail/work-from-home-unreal-developer-internship-at-kidloland-kids-toddler-games-private-limited1773220473
3D Artist (Blender & Unreal Engine),KIDLOLAND KIDS & TODDLER GAMES PRIVATE LIMITED,0 years (Fresher),Work From Home,"₹ 8,000 /month",3D Modeling | Blender 3D | Unreal Engine | Certificate | 5 days a week,"About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Create 3D models and assets using Blender. 2. Import and set up assets inside Unreal Engine. 3. Work with Unreal Engine's Material Editor / Shader Graph to create and modify materials. 4. Experiment with different art styles such as cel-shaded, cartoony, painted, noir, and other stylized looks. 5. Set up basic environments and scenes to convey the desired look and feel. 6. Use Sequencer in Unreal Engine to create basic cinematic shots or previews. 7. Ensure assets are optimized and ready for real-time rendering. Skill(s) required 3D Modeling Blender 3D Unreal Engine Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Arduino Learn VLSI Design Learn PCB Design Learn Embedded Systems Learn Cloud Computing Learn Animation Learn Video Editing Learn 3D Printing Learn AR/VR Learn Git & Github Learn Software development Learn Vibe Coding + 7 more skills Who can apply Onl",Internship,3 Months,4 days ago,https://internshala.com/internship/detail/work-from-home-3d-artist-blender-unreal-engine-internship-at-kidloland-kids-toddler-games-private-limited1773212730
Website & Product Listing Executive,The Clay Company,0 years (Fresher),,"₹ 5,000 /month",AI Image Generation | Image Editing | MS-Word | Photography | Shopify | Web Design | Certificate | Letter of recommendation | Informal dress code,"About part time job/internship Selected intern's day-to-day responsibilities include: Product listing management: Photography, image uploading, maintaining, and updating product images, descriptions, and pricing on CMS platforms (e.g., Shopify). Image optimization: AI image generation, taking product photos, resizing, cropping, and enhancing image quality to meet marketplace standards. Data entry & accuracy: Ensuring consistency in style, format, and file naming across the website. Tools Used: Photography, MS Office/Excel, Shopify, AI tools, and basic image editors. Skill(s) required AI Image Generation Image Editing MS-Word Photography Shopify Web Design Earn certifications in these skills Learn AI Image Generation Learn Photography Who can apply Only those candidates can apply who: 1. are available for the part time job/internship 2. can start the part time job/internship between 10th Mar'26 and 14th Apr'26 3. are available for duration of 1 month 4. have relevant skills and interest",Internship,1 Month,5 days ago,https://internshala.com/internship/detail/part-time-website-product-listing-executive-internship-in-gurgaon-at-the-clay-company1773195922
Software Development,Bag2Bag,0 years (Fresher),,"₹ 10,000 - 15,000 /month",Angular | Ionic | MongoDB | NestJS | Node.js | PostgreSQL | Sass | Tailwind CSS | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week | Job offer,"About the internship As a Software Development Intern at Bag2Bag, you will have the opportunity to work on cutting-edge technologies such as Angular 20+, JavaScript, Node.js, CSS, MongoDB, Express.js, Tailwind CSS and TypeScript. You will be an integral part of our dynamic team, contributing to the development of innovative solutions that will revolutionize the travel industry. 1. Collaborate with the development team to design and implement software solutions using Angular and other relevant technologies. 2. Write clean, efficient, and maintainable code while following best practices and coding standards. 3. Conduct thorough testing and debugging to ensure the quality and reliability of the software. 4. Assist in the integration of front-end and back-end systems to create seamless user experiences. 5. Participate in code reviews and provide constructive feedback to team members. 6. Stay up-to-date with the latest trends and technologies in software development. 7. Take on additional r",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/software-development-internship-in-multiple-locations-at-bag2bag1773140792
Flutter Development,International Institute Of Data Science & Technology,0 years (Fresher),,"₹ 5,000 - 15,000 /month",Android | Cloud Firestore | Dart | Firebase | Flutter | iOS | REST API | Certificate | Letter of recommendation | Flexible work hours | Informal dress code | 5 days a week | Free snacks & beverages,"About the internship Selected intern's day-to-day responsibilities include: A. Mobile App Development: 1. Assisting in building and maintaining cross-platform mobile applications using Flutter. 2. Writing clean, maintainable, and efficient code. 3. Implementing UI/UX designs into functional applications. B. Feature Implementation: 1. Developing new app features as per requirements. 2. Integrating APIs, third-party libraries, and backend services. 3. Debugging, testing, and improving application performance. C. Collaboration: 1. Working closely with the development team to design, develop, and deploy mobile solutions. 2. Coordinating with designers to create user-friendly interfaces. D. Code Quality & Documentation: 1. Ensuring proper documentation of code and development processes. 2. Participating in code reviews and suggesting improvements. E. Research & Innovation: 1. Keeping up to date with the latest Flutter/Dart updates and mobile development trends. 2. Suggesting innovative idea",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/flutter-development-internship-in-mumbai-at-international-institute-of-data-science-technology1773142491
Unreal Engine Trainer,Sigillieum Software Consultants Pvt.Ltd,0 years (Fresher),,"₹ 6,000 - 10,000 /month",Unreal Engine | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the internship We're looking for a passionate  Unreal Engine Trainer  who enjoys teaching and experimenting with game development tools. You'll work closely with our training team to guide students, develop engaging content, and help shape creative learning experiences. Selected intern's day-to-day responsibilities include: 1. Conduct training sessions on Unreal Engine fundamentals, including interface, tools, and workflow. 2. Teach students how to create 3D environments, lighting setups, and basic animations using Unreal Engine. 3. Guide learners in developing real-time projects such as games, simulations, or architectural visualizations. 4. Provide hands-on demonstrations and practical assignments to help students understand Unreal Engine features. 5. Assist students in troubleshooting technical issues and improving their project work. 6. Prepare course materials, tutorials, and training resources for effective learning. 7. Evaluate student progress through assignments, project",Internship,6 Months,5 days ago,https://internshala.com/internship/detail/unreal-engine-trainer-internship-in-chennai-at-sigillieum-software-consultants-pvtltd1773131734
Flutter Development,Alpha Genix Technologies,0 years (Fresher),,"₹ 4,000 - 12,000 /month",Dart | Flutter | REST API | 5 days a week,"About the internship We are looking for Flutter developer interns who want to start their career in mobile app development and gain real industry experience by working on live projects. This internship is a great opportunity for candidates who want to learn Flutter development, API integration, and mobile app design under the guidance of experienced developers. You will be working in a friendly and collaborative office environment where learning and growth are encouraged. Selected intern's day-to-day responsibilities include: 1) Work on mobile application development using Flutter and Dart. 2) Assist in designing and developing Android applications using the Flutter framework. 3) Learn and implement REST API integration (GET and POST methods) in mobile apps. 4) Work with senior developers to understand app architecture and development process. 5) Debug, test, and improve application performance. 6) Participate in team discussions and learn the real project development workflow. Skill(s",Internship,1 Month,6 days ago,https://internshala.com/internship/detail/flutter-development-internship-in-bhopal-at-alpha-genix-technologies1773116672
Software Testing,Monkhub,0 years (Fresher),,"₹ 10,000 /month",Analytical Thinking | Automation | Bug Tracking | Critical thinking | Document Management | Effective Communication | Manual Testing | Quality Assurance/Quality Control (QA/QC) | Software Testing | STLC | Troubleshooting | Certificate | Flexible work hours | 5 days a week,"About the internship Selected intern's day-to-day responsibilities include: 1.  Review requirements, specifications, and technical design documents to provide timely and meaningful feedback 2. Create detailed, comprehensive, and well-structured test plans and test cases 3. Estimate, prioritize, plan, and coordinate testing activities 4. Design, develop, and execute automation scripts using open-source tools 5. Identify, record, document thoroughly, and track bugs 6. Perform thorough regression testing when bugs are resolved 7. Develop and apply testing processes for new and existing products to meet client needs 8. Liaise with internal teams (e.g. developers and product managers) to identify system requirements 9. Monitor debugging process results 10. Investigate the causes of non-conforming software and train users to implement solutions 11. Track quality assurance metrics, like defect densities and open defect counts 12. Stay up-to-date with new testing tools and test strategies Skil",Internship,6 Months,6 days ago,https://internshala.com/internship/detail/software-testing-internship-in-gurgaon-at-monkhub1773063331
ERP Technical Support,Logix Infotech LLP,0 years (Fresher),,"₹ 12,000 - 15,000 /month",Client Relationship Management (CRM) | Enterprise Resource Planning(ERP) | MS-Excel | MySQL | Certificate,"About the internship Selected intern's day-to-day responsibilities include: 1. Provide end-to-end ERP support across all manufacturing and accounts modules 2. Including requirement analysis, system design, customization, testing, and implementation 3. Conduct onsite/online client demonstrations, deliver functional training, and oversee implementation activities Skill(s) required Client Relationship Management (CRM) Enterprise Resource Planning(ERP) MS-Excel MySQL Earn certifications in these skills Learn MS-Excel Learn MySQL Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Data Structures & Algorithms Learn SAS Programming Learn SQL for Data Analytics Learn Business Communication Learn Git & Github Learn Software development Learn Vibe Coding + 6 more skills Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 9th Mar'26 and 13th Apr'26 3. are available for dura",Internship,6 Months,6 days ago,https://internshala.com/internship/detail/erp-technical-support-internship-in-noida-at-logix-infotech-llp1773053801
Flutter Development,Ensar Soluitions,0 years (Fresher),Work From Home,"₹ 5,000 - 7,500 /month",Android | Cloud Firestore | Dart | Firebase | Flutter | iOS | REST API | Certificate | Flexible work hours,About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Understand the UX design and implementing in flutter with perfection while integrating with backend clean code. 2. Unit testing the app 3. Release management Skill(s) required Android Cloud Firestore Dart Firebase Flutter iOS REST API Earn certifications in these skills Learn Android Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Andoid App Developement Learn Android App Development Learn Vibe Coding Learn Git & Github Learn Software development + 3 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 9th Mar'26 and 13th Apr'26 3. are available for duration of 2 months 4. have relevant skills and interests Perks Certificate Flexible work hours Number of openings 8 About Ensar Soluitions Website We are a startup company that provides,Internship,2 Months,6 days ago,https://internshala.com/internship/detail/work-from-home-flutter-development-internship-at-ensar-soluitions1773053603
2D Game Artist (Character/Environemnt),Art Noob Studio,0 years (Fresher),Work From Home,"₹ 4,000 - 5,000 /month",Adobe Animate | Adobe Illustrator | Adobe Photoshop | Animation | Digital Illustration | Painting | Sketching | Certificate,About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Sketch out characters and environment for 2D game. 2. Character animation(flip-book creation). 3. To check whether the provided art is coming as intended in game. Skill(s) required Adobe Animate Adobe Illustrator Adobe Photoshop Animation Digital Illustration Painting Sketching Earn certifications in these skills Learn Adobe Photoshop Learn Animation Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Graphic Design Learn Video Editing Learn AR/VR Learn Git & Github Learn Software development Learn Vibe Coding + 5 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 7th Mar'26 and 11th Apr'26 3. are available for duration of 6 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks,Internship,6 Months,6 days ago,https://internshala.com/internship/detail/work-from-home-2d-game-artist-character-environemnt-internship-at-art-noob-studio1773042548
Game Development,Monkhub,0 years (Fresher),,"₹ 10,000 /month",C# | Unity Engine | Unreal Engine | Certificate | Flexible work hours | 5 days a week,"About the internship Selected intern's day-to-day responsibilities include: 1. Assist in Unity-Based Development: Support the development of immersive Metaverse, gaming, and AR/VR experiences using Unity. 2. Implement Game Features: Work closely with developers and designers to implement basic game mechanics and features. 3. Write Clean Code: Contribute to writing structured and maintainable C# code under guidance from senior developers. 4. Debug & Improve Performance: Assist in identifying bugs and resolving basic performance issues in Unity projects. 5. Follow Development Standards: Ensure code quality and follow established development practices. 6. Learn & Contribute Ideas: Participate in brainstorming sessions and contribute creative ideas to improve gameplay and user experience. Qualifications 1. Education: Pursuing or recently completed a degree in Computer Science, Game Development, or a related field. 2. Technical Skills: Basic knowledge of Unity and C#, with familiarity in 2D",Internship,6 Months,6 days ago,https://internshala.com/internship/detail/game-development-internship-in-gurgaon-at-monkhub1773037779
Photo Editor,Map My Tour,0 years (Fresher),Work From Home,"₹ 1,000 - 2,000 /month",Content Editing | Creativity | Image Editing | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,About the work from home job/internship Are you a creative individual with a passion for editing and enhancing images? Join our team at Map My Tour as a photo editor intern and help bring our travel experiences to life through stunning visuals! Selected intern's day-to-day responsibilities include: 1. Collaborate with the content team to edit and enhance photos for our website and social media platforms 2. Use your creativity to create engaging and eye-catching images that resonate with our audience 3. Assist in managing the company's image library and maintaining brand consistency 4. Work closely with the design team to incorporate visuals into marketing materials and promotional campaigns 5. Stay up-to-date on industry trends and best practices for image editing and content creation 6. Participate in brainstorming sessions and contribute fresh ideas for visual storytelling 7. Take ownership of your projects and see them through from concept to completion with attention to detail and ,Internship,2 Months,6 days ago,https://internshala.com/internship/detail/work-from-home-part-time-photo-editor-internship-at-map-my-tour1773031772
C# Backend Development (Male Candidates),Jogaz Info Private Limited,0 years (Fresher),,"₹ 5,000 /month",.NET | ASP.NET | C# | C#.NET | Model View Controller(MVC) | Certificate | Letter of recommendation | Job offer,"About the internship Selected intern's day-to-day responsibilities include: 1. Develop and maintain backend applications using C# and .NET technologies. 2. Collaborate with the development team to design scalable and efficient solutions. 3. Write clean, reusable, and maintainable code. 4. Assist in debugging and troubleshooting production issues. 5. Participate in code reviews and follow best practices. 6. Contribute to database design and optimization tasks. 7. Develop RESTful APIs and Socket integration with frontend systems. 8. Stay updated on emerging technologies and backend development trends. Skill(s) required .NET ASP.NET C# C#.NET Model View Controller(MVC) Earn certifications in these skills Learn AR/VR Using C# Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Web Development Learn Web development Learn Vibe Coding Learn Data Structures & Algorithms Learn Git & Github Learn Software development + 4 more skills Who can apply Only those can",Internship,6 Months,7 days ago,https://internshala.com/internship/detail/c-backend-development-male-candidates-internship-in-delhi-at-jogaz-info-private-limited1772974574
Embedded Software Development,Gray Mobility,0 years (Fresher),,"₹ 8,000 - 12,000 /month",Algorithms | Control systems | C Programming | Embedded C | Embedded Systems | MATLAB | Simulink | Certificate | Letter of recommendation | Informal dress code,"About the internship Selected intern's day-to-day responsibilities include: 1. Develop software components for electric vehicles, including Battery Management. 2. Systems (BMS), Vehicle Control Units (VCU), charging systems, and motor controllers. 3. Test and validate software components using Model-in-the-Loop (MIL), Software-in-the-Loop (SIL), and Hardware-in-the-Loop (HIL) methodologies. 4. Perform static code analysis to ensure software quality, compliance, and robustness. 5. Create and maintain design documentation, reports, and technical presentations. 6. Research emerging technologies, materials, and methodologies relevant to EV software development. 7. Oversee the product lifecycle, from prototype development to production, ensuring seamless transitions and providing post-production support. Skill(s) required Algorithms Control systems C Programming Embedded C Embedded Systems MATLAB Simulink Earn certifications in these skills Learn Algorithms Learn C Programming Learn Embedde",Internship,6 Months,7 days ago,https://internshala.com/internship/detail/embedded-software-development-internship-in-bangalore-at-gray-mobility1772970106
Full Stack Development,Aadi Foundation,0 years (Fresher),Work From Home,"₹ 5,000 - 35,000 /month",CSS | HTML | JavaScript | MongoDB | MySQL | Next.js | Node.js | PHP | React | Certificate | Letter of recommendation | Flexible work hours | 5 days a week,"About the work from home job/internship As a full stack development intern at Aadi Foundation, you will have the opportunity to work on cutting-edge projects that make a real impact on society. You will collaborate with our experienced team to develop innovative solutions using your skills in HTML&CSS, Next.js, JavaScript, Node.js, ReactJS, MongoDB, and Python. Selected intern's day-to-day responsibilities include: 1. Develop and maintain web applications using the latest technologies. 2. Assist with testing and debugging to ensure high-quality code. 3. Collaborate with designers and other developers to create user-friendly interfaces. 4. Implement security measures to protect our systems and data. 5. Participate in code reviews and provide feedback to improve overall efficiency. 6. Stay up-to-date on industry trends and best practices to continuously improve your skills. 7. Contribute to a positive and dynamic work environment through teamwork and creativity. If you are passionate abo",Internship,3 Months,,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-aadi-foundation1772885270
DevOps,Planys Technologies Private Limited,0 years (Fresher),,"₹ 12,500 - 15,000 /month",Amazon Web Services (AWS) | CI/CD | Docker | Git | Jenkins | Kubernetes | Linux | Certificate | Free snacks & beverages,"About the internship Selected intern's day-to-day responsibilities include: 1. Assist in designing and maintaining cloud infrastructure while learning system design fundamentals. 2. Support the setup and maintenance of CI/CD pipelines for application deployment. 3. Learn and assist in containerizing applications using Docker and understand container orchestration concepts. 4. Assist in implementing Infrastructure as Code (IaC) practices for infrastructure management. 5. Support the setup of monitoring, logging, and alerting systems for development environments. 6. Help debug issues in development and test environments and support the team during issue resolution. 7. Use version control (Git) for daily tasks and collaborate with team members on assigned projects. 8. Follow security best practices, track cloud usage and cost reports, and continuously learn performance optimization with guidance from mentors while demonstrating strong curiosity and problem-solving skills. Skill(s) require",Internship,6 Months,,https://internshala.com/internship/detail/devops-internship-in-chennai-at-planys-technologies-private-limited1772871064
